id;thumbnail_url;primary_name;minplayers;maxplayers;suggested_numplayers;playingtime;suggested_playerage;rating;jhi_rank;averageweight;category
1;generate Practical Avon;Wooden Drives Rubber;69932;93604;25573;26356;62293;73485;30072;31543;wireless
2;Benin;viral SMTP;28202;56596;47436;30893;93566;3356;81554;58495;mobile parsing bandwidth
3;Car Groves;Cross-platform Landing incubate;85283;64041;80377;32424;53920;89555;27708;97830;Idaho interface
4;International Timor-Leste;cross-platform Borders Music;17648;76956;50159;20488;24402;32349;94206;62390;revolutionize hub
5;explicit Somali;Bahamian Shoal;64140;63740;65796;31804;22793;99569;571;83800;aggregate Liechtenstein
6;1080p Toys Triple-buffered;open-source Namibia salmon;95365;75116;81018;27382;92789;37203;85397;40047;Internal Chicken Grocery
7;solid upward-trending;projection Ireland;63696;46625;31991;23052;96838;74915;20175;32110;back-end Account withdrawal
8;Avon synthesizing Shores;Cheese;58255;81538;23742;7924;25557;50662;91178;78711;SQL
9;Lead leverage deposit;content-based;39386;51694;33763;99630;74984;88149;86803;22614;Architect
10;Clothing;EXE Soap;77352;33027;71269;31244;1209;44062;78438;18393;initiative Connecticut
